temperature,pressure,mass_ratio,H2S_conv,CS2_conv,naphthalene,p_Xylene,toluene,benzene,H2S,methane
320,16,6.32,0.0038845361226010427,0.6231884057971014,0.0004,0.0002,0.0009,0.0014,7.0681,95.1141
330,16,6.32,0.004561935281987162,0.6790123456790124,0.0005,0.0002,0.0012,0.0018,7.066,95.113
340,16,6.32,0.0053240093362967355,0.7301587301587301,0.0007,0.0003,0.0015,0.0023,7.0637,95.1119
350,16,6.32,0.006170758285529385,0.7671232876712328,0.0008,0.0003,0.0018,0.0028,7.0612,95.1106
360,16,6.32,0.007130407094659847,0.8055555555555555,0.001,0.0004,0.0022,0.0034,7.0584,95.1092
370,16,6.32,0.008188843281200816,0.8379310344827586,0.0012,0.0005,0.0026,0.004,7.0554,95.1076
380,16,6.32,0.009360179327639473,0.8640483383685801,0.0014,0.0005,0.0031,0.0048,7.0521,95.1059
390,16,6.32,0.010644415233975689,0.8885941644562334,0.0017,0.0006,0.0036,0.0056,7.0484,95.1041
400,16,6.32,0.012069775965184201,0.9088785046728972,0.0019,0.0007,0.0042,0.0065,7.0444,95.102
410,16,6.32,0.013622149038777582,0.9254658385093167,0.0022,0.0008,0.0049,0.0075,7.04,95.0997
420,16,6.32,0.015329759419730311,0.9410681399631675,0.0025,0.0009,0.0055,0.0085,7.0351,95.0973
430,16,6.32,0.017178494625555086,0.9523809523809524,0.0029,0.0011,0.0063,0.0097,7.0298,95.0945
440,16,6.32,0.019182467138739213,0.9617647058823529,0.0032,0.0012,0.0071,0.0109,7.024,95.0916
450,16,6.32,0.02134167695928269,0.9695767195767196,0.0036,0.0014,0.008,0.0122,7.0176,95.0884
460,16,6.32,0.02367023656967282,0.9761620977353993,0.004,0.0015,0.0089,0.0137,7.0108,95.0849
470,16,6.32,0.026182258452396537,0.9806034482758621,0.0045,0.0017,0.0099,0.0152,7.0034,95.0811
480,16,6.32,0.02886363012496691,0.9853228962818004,0.005,0.0019,0.0109,0.0168,6.9954,95.077
490,16,6.32,0.03172846406987099,0.9875444839857651,0.0055,0.0021,0.012,0.0185,6.9868,95.0726
500,16,6.32,0.0347767602871089,0.9902597402597402,0.006,0.0023,0.0132,0.0203,6.9776,95.0679
510,16,6.32,0.03800851877668053,0.9925760950259837,0.0066,0.0025,0.0145,0.0223,6.9678,95.0629
520,16,6.32,0.04145196450356035,0.9938692098092642,0.0072,0.0027,0.0158,0.0243,6.9573,95.0576
530,16,6.32,0.045078872502774,0.9949906073888541,0.0078,0.003,0.0172,0.0265,6.9463,95.052
540,16,6.32,0.04891746773929572,0.9959607616849394,0.0085,0.0032,0.0187,0.0288,6.9346,95.046
550,16,6.32,0.05295363773063846,0.9968017057569297,0.0092,0.0035,0.0203,0.0312,6.9222,95.0398
560,16,6.32,0.05718738247680221,0.9970384995064167,0.01,0.0038,0.0219,0.0337,6.9093,95.0331
570,16,6.32,0.06164692694276133,0.9977106227106227,0.0108,0.004,0.0236,0.0363,6.8956,95.0262
